"PID","banditTrial","choice","cue","feedback","condition","block"
6272,3,1,1,0,"NonInfo","1"
6272,4,0,1,110,"NonInfo","1"
6272,5,0,1,116,"NonInfo","1"
6272,6,0,1,126,"NonInfo","1"
6272,7,0,2,0,"NonInfo","1"
6272,8,1,2,82,"NonInfo","1"
6272,9,0,2,0,"NonInfo","1"
6272,10,1,2,72,"NonInfo","1"
6272,11,0,2,0,"NonInfo","1"
6272,12,1,2,84,"NonInfo","1"
6272,13,1,2,86,"NonInfo","1"
6272,14,1,1,0,"NonInfo","1"
6272,15,0,1,125,"NonInfo","1"
6272,16,1,2,80,"NonInfo","2"
6272,17,0,1,122,"NonInfo","2"
6272,18,0,1,120,"NonInfo","2"
6272,19,1,1,0,"NonInfo","2"
6272,20,1,2,85,"NonInfo","2"
6272,21,0,1,111,"NonInfo","2"
6272,22,1,1,0,"NonInfo","2"
6272,23,0,2,0,"NonInfo","2"
6272,24,1,2,85,"NonInfo","2"
6272,25,0,1,114,"NonInfo","2"
6272,26,1,1,0,"NonInfo","2"
6272,27,1,1,0,"NonInfo","2"
6272,28,0,2,0,"NonInfo","2"
6272,29,0,2,0,"NonInfo","2"
6272,30,0,2,0,"NonInfo","2"
6272,31,0,1,125,"NonInfo","3"
6272,32,1,2,85,"NonInfo","3"
6272,33,1,1,0,"NonInfo","3"
6272,34,0,1,113,"NonInfo","3"
6272,35,1,2,78,"NonInfo","3"
6272,36,0,1,112,"NonInfo","3"
6272,37,1,1,0,"NonInfo","3"
6272,38,0,1,114,"NonInfo","3"
6272,39,0,2,0,"NonInfo","3"
6272,40,1,2,73,"NonInfo","3"
6272,41,1,2,70,"NonInfo","3"
6272,42,1,1,0,"NonInfo","3"
6272,43,0,1,117,"NonInfo","3"
6272,44,0,2,0,"NonInfo","3"
6272,45,1,2,71,"NonInfo","3"
6272,46,0,2,0,"NonInfo","4"
6272,47,1,2,82,"NonInfo","4"
6272,48,0,1,114,"NonInfo","4"
6272,49,0,2,0,"NonInfo","4"
6272,50,1,2,74,"NonInfo","4"
6272,51,1,1,0,"NonInfo","4"
6272,52,0,1,110,"NonInfo","4"
6272,53,0,1,127,"NonInfo","4"
6272,54,1,1,0,"NonInfo","4"
6272,55,1,1,0,"NonInfo","4"
6272,56,0,1,120,"NonInfo","4"
6272,57,1,2,79,"NonInfo","4"
6272,58,1,1,0,"NonInfo","4"
6272,59,0,1,111,"NonInfo","4"
6272,60,1,1,0,"NonInfo","4"
6562,1,1,1,0,"Informative","1"
6562,2,1,1,0,"Informative","1"
6562,3,1,2,80,"Informative","1"
6562,4,1,2,81,"Informative","1"
6562,5,1,1,0,"Informative","1"
6562,6,0,1,111,"Informative","1"
6562,7,1,1,0,"Informative","1"
6562,8,1,1,0,"Informative","1"
6562,9,1,2,81,"Informative","1"
6562,10,1,2,70,"Informative","1"
6562,11,1,1,0,"Informative","1"
6562,12,1,2,78,"Informative","1"
6562,13,1,2,74,"Informative","1"
6562,14,1,2,88,"Informative","1"
6562,15,1,2,74,"Informative","1"
6562,16,1,1,0,"Informative","2"
6562,17,1,2,90,"Informative","2"
6562,18,1,2,72,"Informative","2"
6562,19,1,2,77,"Informative","2"
6562,20,1,1,0,"Informative","2"
6562,21,1,2,75,"Informative","2"
6562,22,1,1,0,"Informative","2"
6562,23,1,1,0,"Informative","2"
6562,24,1,2,78,"Informative","2"
6562,25,1,1,0,"Informative","2"
6562,26,1,1,0,"Informative","2"
6562,27,1,1,0,"Informative","2"
6562,28,1,1,0,"Informative","2"
6562,29,1,1,0,"Informative","2"
6562,30,1,1,0,"Informative","2"
6562,31,1,1,0,"Informative","3"
6562,32,1,2,83,"Informative","3"
6562,33,1,2,77,"Informative","3"
6562,34,1,2,75,"Informative","3"
6562,35,1,2,80,"Informative","3"
6562,36,1,1,0,"Informative","3"
6562,37,1,2,77,"Informative","3"
6562,38,1,1,0,"Informative","3"
6562,39,1,1,0,"Informative","3"
6562,40,1,2,80,"Informative","3"
6562,41,1,2,85,"Informative","3"
6562,42,1,1,0,"Informative","3"
6562,43,1,1,0,"Informative","3"
6562,44,1,1,0,"Informative","3"
6562,45,1,2,84,"Informative","3"
6562,46,1,2,80,"Informative","4"
6562,47,1,2,75,"Informative","4"
6562,48,1,1,0,"Informative","4"
6562,49,1,2,76,"Informative","4"
6562,50,1,1,0,"Informative","4"
6562,51,1,2,79,"Informative","4"
6562,52,1,2,86,"Informative","4"
6562,53,1,1,0,"Informative","4"
6562,54,1,2,84,"Informative","4"
6562,55,1,1,0,"Informative","4"
6562,56,1,2,76,"Informative","4"
6562,57,1,2,75,"Informative","4"
6562,58,1,2,80,"Informative","4"
6562,59,1,2,89,"Informative","4"
6562,60,1,1,0,"Informative","4"
6682,1,0,1,112,"NonInfo","1"
6682,2,0,1,130,"NonInfo","1"
6682,3,1,1,0,"NonInfo","1"
6682,4,0,2,0,"NonInfo","1"
6682,5,0,1,123,"NonInfo","1"
6682,6,0,1,113,"NonInfo","1"
6682,7,0,1,118,"NonInfo","1"
6682,8,0,2,0,"NonInfo","1"
6682,9,1,1,0,"NonInfo","1"
6682,10,0,1,114,"NonInfo","1"
6682,11,0,2,0,"NonInfo","1"
6682,12,0,2,0,"NonInfo","1"
6682,13,1,1,0,"NonInfo","1"
6682,14,1,1,0,"NonInfo","1"
6682,15,1,2,82,"NonInfo","1"
6682,16,0,1,110,"NonInfo","2"
6682,17,0,2,0,"NonInfo","2"
6682,18,0,1,130,"NonInfo","2"
6682,19,0,1,119,"NonInfo","2"
6682,20,0,1,121,"NonInfo","2"
6682,21,0,1,125,"NonInfo","2"
6682,22,0,2,0,"NonInfo","2"
6682,23,1,2,72,"NonInfo","2"
6682,24,0,1,116,"NonInfo","2"
6682,25,0,1,122,"NonInfo","2"
6682,26,0,1,119,"NonInfo","2"
6682,27,0,2,0,"NonInfo","2"
6682,28,1,2,70,"NonInfo","2"
6682,29,1,1,0,"NonInfo","2"
6682,30,0,2,0,"NonInfo","2"
6682,31,0,2,0,"NonInfo","3"
6682,32,0,1,125,"NonInfo","3"
6682,33,0,2,0,"NonInfo","3"
6682,34,0,2,0,"NonInfo","3"
6682,35,1,2,76,"NonInfo","3"
6682,36,1,1,0,"NonInfo","3"
